Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,LEFT,1316.666669,"('Time_Max_Exceeded', 1317.3799999999574)",0,,,LEFT,418.0314,13:52.9,13:53.6,55,S2,ConflictResolution
INCONGRUENT,RIGHT,1083.333336,"('Time_Max_Exceeded', 1083.9363000000048)",0,,,RIGHT,444.3633,13:54.7,13:55.4,56,S2,ConflictResolution
INCONGRUENT,LEFT,1433.333336,"('Time_Max_Exceeded', 1435.735099999988)",0,,,LEFT,467.3083,13:56.9,13:57.6,57,S2,ConflictResolution
INCONGRUENT,LEFT,1083.333336,"('Time_Max_Exceeded', 1087.312900000029)",0,,,LEFT,555.5361,13:58.7,13:59.5,58,S2,ConflictResolution
CONGRUENT,RIGHT,766.6666682,"('Time_Max_Exceeded', 767.3795999999129)",0,,,RIGHT,408.7879,14:00.3,14:00.9,59,S2,ConflictResolution
CONGRUENT,LEFT,666.666668,"('Time_Max_Exceeded', 667.16729999996)",0,,,LEFT,516.0316,14:01.6,14:02.4,60,S2,ConflictResolution
INCONGRUENT,RIGHT,600.0000012,"('Time_Max_Exceeded', 601.6670000000204)",0,,,RIGHT,432.1024,14:03.0,14:03.7,61,S2,ConflictResolution
CONGRUENT,LEFT,816.6666683,"('Time_Max_Exceeded', 818.5978999999861)",0,,,LEFT,335.2835,14:04.5,14:05.1,62,S2,ConflictResolution
CONGRUENT,RIGHT,883.3333351,"('Time_Max_Exceeded', 883.8081999999758)",0,,,RIGHT,322.8788,14:06.0,14:06.6,63,S2,ConflictResolution
INCONGRUENT,RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.5842999999686)",0,,,RIGHT,386.2297,14:07.9,14:08.5,64,S2,ConflictResolution
CONGRUENT,RIGHT,500.000001,"('Time_Max_Exceeded', 500.5730999999969)",0,,,RIGHT,535.0814,14:09.1,14:09.8,65,S2,ConflictResolution
INCONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 683.8530999999648)",0,,,RIGHT,516.4012,14:10.5,14:11.3,66,S2,ConflictResolution
CONGRUENT,RIGHT,683.3333347,"('Time_Max_Exceeded', 683.8036999999986)",0,,,RIGHT,359.8703,14:12.0,14:12.6,67,S2,ConflictResolution
CONGRUENT,LEFT,583.3333345,"('Time_Max_Exceeded', 583.7847000000238)",0,,,LEFT,446.3998,14:13.2,14:13.9,68,S2,ConflictResolution
CONGRUENT,RIGHT,850.0000017,"('Time_Max_Exceeded', 850.5235999999741)",0,,,RIGHT,388.627,14:14.8,14:15.4,69,S2,ConflictResolution
CONGRUENT,LEFT,866.6666684,"('Time_Max_Exceeded', 867.1620000000075)",0,,,LEFT,379.6496,14:16.3,14:16.9,70,S2,ConflictResolution
INCONGRUENT,LEFT,616.6666679,"('Time_Max_Exceeded', 617.2272000000021)",0,,,LEFT,540.663,14:17.6,14:18.3,71,S2,ConflictResolution
CONGRUENT,RIGHT,1050.000002,"('Time_Max_Exceeded', 0.3034999999727006)",0,,,RIGHT,447.5353,14:19.4,14:20.1,72,S2,ConflictResolution
INCONGRUENT,RIGHT,983.3333353,"('Time_Max_Exceeded', 983.814499999994)",0,,,RIGHT,461.48,14:21.1,14:21.8,73,S2,ConflictResolution
CONGRUENT,LEFT,1283.333336,"('Time_Max_Exceeded', 1283.7875000000167)",0,,,LEFT,415.3798,14:23.2,14:23.8,74,S2,ConflictResolution
INCONGRUENT,LEFT,800.0000016,"('Time_Max_Exceeded', 800.4885999999942)",0,,,LEFT,383.6603,14:24.6,14:25.2,75,S2,ConflictResolution
CONGRUENT,RIGHT,1033.333335,"('Time_Max_Exceeded', 1037.3494000000392)",0,,,RIGHT,367.5763,14:26.3,14:26.9,76,S2,ConflictResolution
INCONGRUENT,RIGHT,766.6666682,"('Time_Max_Exceeded', 767.1204000000671)",0,,,LEFT,402.103,14:27.7,14:28.3,77,S2,ConflictResolution
INCONGRUENT,LEFT,900.0000018,"('Time_Max_Exceeded', 903.2046000002083)",0,,,LEFT,499.2617,14:29.3,14:30.0,78,S2,ConflictResolution
CONGRUENT,LEFT,550.0000011,"('Time_Max_Exceeded', 550.4780000001119)",0,,,LEFT,506.4499,14:30.6,14:31.3,79,S2,ConflictResolution
CONGRUENT,RIGHT,1083.333336,"('Time_Max_Exceeded', 1084.0269000000262)",0,,,RIGHT,377.0755,14:32.5,14:33.0,80,S2,ConflictResolution
CONGRUENT,RIGHT,1283.333336,"('Time_Max_Exceeded', 1283.828400000175)",0,,,RIGHT,377.9307,14:34.4,14:35.0,81,S2,ConflictResolution
CONGRUENT,RIGHT,700.0000014,"('Time_Max_Exceeded', 700.7570999999189)",0,,,RIGHT,374.0814,14:35.7,14:36.3,82,S2,ConflictResolution
CONGRUENT,LEFT,1150.000002,"('Time_Max_Exceeded', 1150.508899999977)",0,,,LEFT,386.1649,14:37.5,14:38.1,83,S2,ConflictResolution
CONGRUENT,RIGHT,1483.333336,"('Time_Max_Exceeded', 1484.083400000145)",0,,,RIGHT,374.738,14:39.7,14:40.3,84,S2,ConflictResolution
CONGRUENT,RIGHT,900.0000018,"('Time_Max_Exceeded', 900.4843000000164)",0,,,RIGHT,365.531,14:41.2,14:41.8,85,S2,ConflictResolution
CONGRUENT,RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.4895000001397)",0,,,RIGHT,329.9136,14:43.2,14:43.7,86,S2,ConflictResolution
INCONGRUENT,LEFT,1500.000003,"('Time_Max_Exceeded', 1500.4707000000508)",-0.162,,,RIGHT,299.2371,14:45.3,14:45.8,87,S2,ConflictResolution
INCONGRUENT,RIGHT,750.0000015,"('Time_Max_Exceeded', 750.6146000000626)",0,,,RIGHT,528.5452,14:46.6,14:47.3,88,S2,ConflictResolution
INCONGRUENT,LEFT,1183.333336,"('Time_Max_Exceeded', 1183.783000000176)",0,,,LEFT,448.6309,14:48.6,14:49.2,89,S2,ConflictResolution
INCONGRUENT,RIGHT,900.0000018,"('Time_Max_Exceeded', 901.0389999998552)",0,,,RIGHT,432.691,14:50.2,14:50.8,90,S2,ConflictResolution
CONGRUENT,RIGHT,1066.666669,"('Time_Max_Exceeded', 0.35890000003746536)",0,,,RIGHT,400.6791,14:51.9,14:52.6,91,S2,ConflictResolution
INCONGRUENT,LEFT,1050.000002,"('Time_Max_Exceeded', 1050.4547000000457)",0,,,LEFT,485.405,14:53.7,14:54.4,92,S2,ConflictResolution
CONGRUENT,RIGHT,633.3333346,"('Time_Max_Exceeded', 633.86689999993)",0,,,RIGHT,409.4924,14:55.0,14:55.7,93,S2,ConflictResolution
INCONGRUENT,LEFT,966.6666686,"('Time_Max_Exceeded', 967.1498000000156)",0,,,LEFT,444.4131,14:56.7,14:57.4,94,S2,ConflictResolution
CONGRUENT,RIGHT,1183.333336,"('Time_Max_Exceeded', 1184.0071999999964)",0,,,RIGHT,362.1724,14:58.6,14:59.2,95,S2,ConflictResolution
CONGRUENT,LEFT,966.6666686,"('Time_Max_Exceeded', 967.2189999998864)",0,,,LEFT,371.1552,15:00.2,15:00.8,96,S2,ConflictResolution
CONGRUENT,RIGHT,966.6666686,"('Time_Max_Exceeded', 967.187499999909)",0,,,RIGHT,367.9174,15:01.8,15:02.4,97,S2,ConflictResolution
CONGRUENT,RIGHT,800.0000016,"('Time_Max_Exceeded', 800.8082999999715)",0,,,RIGHT,342.4792,15:03.2,15:03.8,98,S2,ConflictResolution
CONGRUENT,LEFT,1100.000002,"('Time_Max_Exceeded', 1100.5113999999594)",0,,,LEFT,356.017,15:04.9,15:05.5,99,S2,ConflictResolution
INCONGRUENT,LEFT,1216.666669,"('Time_Max_Exceeded', 1217.1496000000843)",0,,,LEFT,407.9997,15:06.8,15:07.4,100,S2,ConflictResolution
