Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
CONGRUENT,RIGHT,1416.66667,,,,,RIGHT,372.4964,01:15.4,01:16.0,161,S1,ConflictResolution
CONGRUENT,RIGHT,1233.333336,,,,,RIGHT,380.4878,01:17.3,01:17.9,162,S1,ConflictResolution
CONGRUENT,RIGHT,533.3333344,,,,,RIGHT,551.8826,01:18.4,01:19.2,163,S1,ConflictResolution
CONGRUENT,LEFT,1133.333336,,,,,LEFT,482.2981,01:20.4,01:21.1,164,S1,ConflictResolution
CONGRUENT,RIGHT,1450.000003,,,,,RIGHT,330.7906,01:22.6,01:23.1,165,S1,ConflictResolution
CONGRUENT,RIGHT,566.6666678,,,,,RIGHT,360.1591,01:23.8,01:24.4,166,S1,ConflictResolution
INCONGRUENT,RIGHT,900.0000018,,,,,RIGHT,561.6297,01:25.3,01:26.1,167,S1,ConflictResolution
CONGRUENT,RIGHT,616.6666679,,,,,RIGHT,379.5387,01:26.8,01:27.4,168,S1,ConflictResolution
CONGRUENT,LEFT,666.666668,,,,,LEFT,396.6745,01:28.1,01:28.7,169,S1,ConflictResolution
CONGRUENT,RIGHT,1483.333336,,,,,RIGHT,334.6634,01:30.2,01:30.8,170,S1,ConflictResolution
INCONGRUENT,RIGHT,1466.66667,,,,,RIGHT,513.6327,01:32.3,01:33.0,171,S1,ConflictResolution
CONGRUENT,LEFT,1033.333335,,,,,LEFT,401.4431,01:34.1,01:34.7,172,S1,ConflictResolution
INCONGRUENT,LEFT,1050.000002,,,,,LEFT,517.9217,01:35.8,01:36.5,173,S1,ConflictResolution
CONGRUENT,LEFT,583.3333345,,,,,LEFT,426.7346,01:37.2,01:37.8,174,S1,ConflictResolution
CONGRUENT,RIGHT,900.0000018,,,,,RIGHT,691.1533,01:38.7,01:39.6,175,S1,ConflictResolution
CONGRUENT,LEFT,1216.666669,,,,,LEFT,414.265,01:40.9,01:41.5,176,S1,ConflictResolution
CONGRUENT,LEFT,1200.000002,,,,,LEFT,413.1482,01:42.8,01:43.4,177,S1,ConflictResolution
INCONGRUENT,LEFT,766.6666682,,,,,LEFT,533.194,01:44.2,01:45.0,178,S1,ConflictResolution
INCONGRUENT,LEFT,616.6666679,,,,,LEFT,516.2969,01:45.7,01:46.4,179,S1,ConflictResolution
CONGRUENT,LEFT,533.3333344,,,,,LEFT,424.5827,01:47.0,01:47.7,180,S1,ConflictResolution
INCONGRUENT,RIGHT,1300.000003,,,,,RIGHT,567.6258,01:49.0,01:49.8,181,S1,ConflictResolution
INCONGRUENT,LEFT,950.0000019,,,,,LEFT,458.3101,01:50.8,01:51.4,182,S1,ConflictResolution
INCONGRUENT,RIGHT,1066.666669,,,,,RIGHT,482.4511,01:52.5,01:53.2,183,S1,ConflictResolution
CONGRUENT,RIGHT,750.0000015,,,,,RIGHT,442.8298,01:54.0,01:54.7,184,S1,ConflictResolution
CONGRUENT,LEFT,966.6666686,,,,,LEFT,346.0787,01:55.7,01:56.3,185,S1,ConflictResolution
CONGRUENT,RIGHT,800.0000016,,,,,RIGHT,349.9652,01:57.1,01:57.7,186,S1,ConflictResolution
INCONGRUENT,LEFT,1483.333336,,,,,LEFT,462.5566,01:59.2,01:59.9,187,S1,ConflictResolution
CONGRUENT,LEFT,766.6666682,,,,,LEFT,440.1919,02:00.7,02:01.4,188,S1,ConflictResolution
CONGRUENT,LEFT,616.6666679,,,,,LEFT,397.408,02:02.0,02:02.6,189,S1,ConflictResolution
INCONGRUENT,RIGHT,850.0000017,,,,,RIGHT,518.9911,02:03.5,02:04.3,190,S1,ConflictResolution
INCONGRUENT,RIGHT,1350.000003,,,,,LEFT,302.9591,02:05.7,02:06.2,191,S1,ConflictResolution
CONGRUENT,LEFT,1500.000003,,,,,LEFT,361.9651,02:07.7,02:08.3,192,S1,ConflictResolution
CONGRUENT,LEFT,1183.333336,,,,,LEFT,436.2383,02:09.6,02:10.2,193,S1,ConflictResolution
INCONGRUENT,LEFT,1500.000003,,,,,LEFT,504.1331,02:11.8,02:12.5,194,S1,ConflictResolution
INCONGRUENT,LEFT,1233.333336,,,,,LEFT,529.0969,02:13.8,02:14.5,195,S1,ConflictResolution
CONGRUENT,RIGHT,1066.666669,,,,,RIGHT,627.1069,02:15.6,02:16.5,196,S1,ConflictResolution
CONGRUENT,RIGHT,683.3333347,,,,,RIGHT,401.7916,02:17.2,02:17.8,197,S1,ConflictResolution
INCONGRUENT,LEFT,1033.333335,,,,,LEFT,471.6594,02:18.9,02:19.6,198,S1,ConflictResolution
CONGRUENT,LEFT,1150.000002,,,,,LEFT,405.5521,02:20.8,02:21.4,199,S1,ConflictResolution
INCONGRUENT,RIGHT,866.6666684,,,,,RIGHT,678.0331,02:22.3,02:23.2,200,S1,ConflictResolution
