Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1016.9963999999823)",0,LEFT,420.6607,46:36.7,46:37.3,58,s4,ResponseInhibition
LEFT,833.333335,FALSE,,"('Time_Max_Exceeded', 833.6456000000112)",0,LEFT,453.0975,46:38.1,46:38.8,59,s4,ResponseInhibition
LEFT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1416.9001999999864)",0,LEFT,542.2624,46:40.2,46:41.0,60,s4,ResponseInhibition
LEFT,500.000001,FALSE,,"('Time_Max_Exceeded', 500.2554999999802)",0,LEFT,488.6708,46:41.5,46:42.2,61,s4,ResponseInhibition
LEFT,1133.333336,FALSE,,"('Time_Max_Exceeded', 1133.7546999999972)",0,LEFT,362.9685,46:43.3,46:43.9,62,s4,ResponseInhibition
LEFT,766.6666682,FALSE,,"('Time_Max_Exceeded', 767.022499999996)",0,LEFT,393.1617,46:44.7,46:45.3,63,s4,ResponseInhibition
LEFT,1250.000003,FALSE,,"('Time_Max_Exceeded', 0.26179999997566483)",0,LEFT,374.5297,46:46.5,46:47.1,64,s4,ResponseInhibition
LEFT,966.6666686,FALSE,,"('Time_Max_Exceeded', 967.0133000000192)",0,LEFT,413.5781,46:48.1,46:48.7,65,s4,ResponseInhibition
RIGHT,1316.666669,TRUE,166.666667,"('Time_Max_Exceeded', 1316.940700000032)",0,Time_Max_Exceeded,1500.107867,46:50.1,46:51.6,66,s4,ResponseInhibition
RIGHT,700.0000014,FALSE,,"('Time_Max_Exceeded', 0.18499999998766725)",0,RIGHT,515.0829,46:52.3,46:53.0,67,s4,ResponseInhibition
LEFT,616.6666679,TRUE,233.3333338,"('Time_Max_Exceeded', 617.1199000000342)",0,LEFT,486.2629338,46:53.6,46:54.3,68,s4,ResponseInhibition
RIGHT,1100.000002,FALSE,,"('Time_Max_Exceeded', 1100.2600000000484)",0,RIGHT,500.09,46:55.4,46:56.1,69,s4,ResponseInhibition
LEFT,583.3333345,FALSE,,"('Time_Max_Exceeded', 583.8696999999797)",0,LEFT,559.1784,46:56.7,46:57.5,70,s4,ResponseInhibition
RIGHT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1050.3868999999781)",0,RIGHT,555.8406,46:58.6,46:59.3,71,s4,ResponseInhibition
RIGHT,900.0000018,TRUE,50.0000001,"('Time_Max_Exceeded', 900.3384999999753)",0,Time_Max_Exceeded,1500.3109,47:00.3,47:01.8,72,s4,ResponseInhibition
RIGHT,1016.666669,FALSE,,"('Time_Max_Exceeded', 0.5080000000248219)",0,RIGHT,545.4586,47:02.8,47:03.5,73,s4,ResponseInhibition
RIGHT,766.6666682,FALSE,,"('Time_Max_Exceeded', 767.0059000000151)",0,RIGHT,412.1316,47:04.3,47:04.9,74,s4,ResponseInhibition
LEFT,1233.333336,FALSE,,"('Time_Max_Exceeded', 1234.0882000000306)",0,LEFT,478.0223,47:06.2,47:06.9,75,s4,ResponseInhibition
LEFT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.7096999999858)",0,LEFT,506.1585,47:08.2,47:08.9,76,s4,ResponseInhibition
LEFT,533.3333344,TRUE,200.0000004,"('Time_Max_Exceeded', 0.19979999996166953)",0,Time_Max_Exceeded,1500.0544,47:09.5,47:11.0,77,s4,ResponseInhibition
RIGHT,1433.333336,FALSE,,"('Time_Max_Exceeded', 0.10350000002290471)",0,RIGHT,457.3829,47:12.4,47:13.1,78,s4,ResponseInhibition
LEFT,783.3333349,TRUE,316.6666673,"('Time_Max_Exceeded', 0.1622999999995045)",0,LEFT,406.5191673,47:13.9,47:14.5,79,s4,ResponseInhibition
LEFT,1100.000002,FALSE,,"('Time_Max_Exceeded', 0.3123999999843363)",0,LEFT,487.0614,47:15.6,47:16.3,80,s4,ResponseInhibition
LEFT,866.6666684,TRUE,300.0000006,"('Time_Max_Exceeded', 867.0194000000038)",0,Time_Max_Exceeded,1500.052101,47:17.2,47:18.7,81,s4,ResponseInhibition
