Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1050.000002,FALSE,,,,LEFT,609.2432,50:20.1,50:21.0,50,S1,ResponseInhibition
LEFT,1066.666669,FALSE,,,,LEFT,638.7735,50:22.1,50:22.9,51,S1,ResponseInhibition
LEFT,1350.000003,TRUE,233.3333338,,,Time_Max_Exceeded,1500.155534,50:24.3,50:25.8,52,S1,ResponseInhibition
RIGHT,783.3333349,FALSE,,,,RIGHT,611.534,50:26.6,50:27.4,53,S1,ResponseInhibition
RIGHT,1100.000002,FALSE,,,,RIGHT,662.3601,50:28.6,50:29.4,54,S1,ResponseInhibition
LEFT,833.333335,FALSE,,,,LEFT,737.4658,50:30.3,50:31.3,55,S1,ResponseInhibition
RIGHT,600.0000012,FALSE,,,,RIGHT,779.0352,50:31.9,50:32.9,56,S1,ResponseInhibition
LEFT,1250.000003,FALSE,,,,LEFT,667.6867,50:34.2,50:35.0,57,S1,ResponseInhibition
LEFT,1400.000003,FALSE,,,,LEFT,619.5341,50:36.5,50:37.3,58,S1,ResponseInhibition
LEFT,1416.66667,FALSE,,,,LEFT,642.4169,50:38.7,50:39.6,59,S1,ResponseInhibition
RIGHT,1133.333336,FALSE,,,,RIGHT,503.7261,50:40.8,50:41.5,60,S1,ResponseInhibition
LEFT,1133.333336,FALSE,,,,LEFT,511.1954,50:42.6,50:43.4,61,S1,ResponseInhibition
LEFT,850.0000017,FALSE,,,,LEFT,623.538,50:44.2,50:45.1,62,S1,ResponseInhibition
LEFT,1383.333336,FALSE,,,,LEFT,600.3939,50:46.5,50:47.3,63,S1,ResponseInhibition
LEFT,1100.000002,FALSE,,,,LEFT,620.6001,50:48.4,50:49.3,64,S1,ResponseInhibition
LEFT,1483.333336,FALSE,,,,LEFT,607.7862,50:50.8,50:51.6,65,S1,ResponseInhibition
LEFT,700.0000014,TRUE,250.0000005,,,Time_Max_Exceeded,1500.1109,50:52.3,50:53.8,66,S1,ResponseInhibition
RIGHT,933.3333352,FALSE,,,,RIGHT,662.6969,50:54.8,50:55.7,67,S1,ResponseInhibition
LEFT,1283.333336,TRUE,66.6666668,,,Time_Max_Exceeded,1500.165167,50:57.0,50:58.5,68,S1,ResponseInhibition
RIGHT,1383.333336,FALSE,,,,RIGHT,572.7382,50:59.9,51:00.7,69,S1,ResponseInhibition
RIGHT,766.6666682,FALSE,,,,RIGHT,693.7843,51:01.5,51:02.4,70,S1,ResponseInhibition
RIGHT,1050.000002,FALSE,,,,RIGHT,690.7639,51:03.5,51:04.4,71,S1,ResponseInhibition
RIGHT,950.0000019,FALSE,,,,RIGHT,778.1048,51:05.3,51:06.3,72,S1,ResponseInhibition
RIGHT,1416.66667,FALSE,,,,RIGHT,742.8225,51:07.8,51:08.7,73,S1,ResponseInhibition
LEFT,966.6666686,FALSE,,,,LEFT,719.8977,51:09.7,51:10.7,74,S1,ResponseInhibition
LEFT,1216.666669,FALSE,,,,LEFT,696.3957,51:11.9,51:12.8,75,S1,ResponseInhibition
LEFT,1316.666669,FALSE,,,,LEFT,724.1849,51:14.2,51:15.1,76,S1,ResponseInhibition
LEFT,1466.66667,FALSE,,,,LEFT,678.5126,51:16.6,51:17.5,77,S1,ResponseInhibition
LEFT,783.3333349,TRUE,166.666667,,,Time_Max_Exceeded,1500.103967,51:18.3,51:19.8,78,S1,ResponseInhibition
RIGHT,533.3333344,FALSE,,,,RIGHT,747.5282,51:20.3,51:21.3,79,S1,ResponseInhibition
RIGHT,1200.000002,FALSE,,,,RIGHT,760.7518,51:22.5,51:23.5,80,S1,ResponseInhibition
LEFT,1300.000003,FALSE,,,,LEFT,650.3893,51:24.8,51:25.7,81,S1,ResponseInhibition
LEFT,983.3333353,FALSE,,,,LEFT,619.8949,51:26.7,51:27.6,82,S1,ResponseInhibition
RIGHT,1216.666669,FALSE,,,,RIGHT,591.0273,51:28.8,51:29.6,83,S1,ResponseInhibition
RIGHT,1116.666669,FALSE,,,,RIGHT,726.1384,51:30.8,51:31.7,84,S1,ResponseInhibition
RIGHT,1033.333335,FALSE,,,,RIGHT,785.4732,51:32.8,51:33.8,85,S1,ResponseInhibition
RIGHT,866.6666684,FALSE,,,,RIGHT,695.9261,51:34.6,51:35.6,86,S1,ResponseInhibition
LEFT,650.0000013,FALSE,,,,LEFT,667.83,51:36.2,51:37.1,87,S1,ResponseInhibition
LEFT,566.6666678,FALSE,,,,LEFT,740.3247,51:37.7,51:38.7,88,S1,ResponseInhibition
RIGHT,1150.000002,TRUE,283.3333339,,,Time_Max_Exceeded,1500.110034,51:39.8,51:41.3,89,S1,ResponseInhibition
RIGHT,1166.666669,FALSE,,,,RIGHT,722.0078,51:42.5,51:43.5,90,S1,ResponseInhibition
RIGHT,700.0000014,FALSE,,,,RIGHT,701.2451,51:44.2,51:45.1,91,S1,ResponseInhibition
RIGHT,900.0000018,TRUE,33.3333334,,,Time_Max_Exceeded,1500.264433,51:46.0,51:47.5,92,S1,ResponseInhibition
LEFT,583.3333345,FALSE,,,,LEFT,612.3775,51:48.1,51:49.0,93,S1,ResponseInhibition
RIGHT,583.3333345,TRUE,166.666667,,,Time_Max_Exceeded,1500.119067,51:49.6,51:51.1,94,S1,ResponseInhibition
RIGHT,566.6666678,FALSE,,,,RIGHT,700.0151,51:51.7,51:52.6,95,S1,ResponseInhibition
RIGHT,1300.000003,FALSE,,,,RIGHT,715.6488,51:53.9,51:54.8,96,S1,ResponseInhibition
LEFT,900.0000018,FALSE,,,,LEFT,608.7785,51:55.8,51:56.6,97,S1,ResponseInhibition
LEFT,1166.666669,FALSE,,,,LEFT,724.7255,51:57.8,51:58.7,98,S1,ResponseInhibition
RIGHT,800.0000016,FALSE,,,,RIGHT,582.9117,51:59.5,52:00.3,99,S1,ResponseInhibition
LEFT,666.666668,FALSE,,,,LEFT,541.6892,52:01.0,52:01.8,100,S1,ResponseInhibition
LEFT,583.3333345,FALSE,,,,LEFT,614.3027,52:02.4,52:03.3,101,S1,ResponseInhibition
LEFT,616.6666679,TRUE,0,,,Time_Max_Exceeded,1500.1035,52:03.9,52:05.4,102,S1,ResponseInhibition
RIGHT,1116.666669,FALSE,,,,RIGHT,625.502,52:06.5,52:07.4,103,S1,ResponseInhibition
RIGHT,1150.000002,TRUE,0,,,Time_Max_Exceeded,1500.1653,52:08.6,52:10.1,104,S1,ResponseInhibition
RIGHT,933.3333352,FALSE,,,,RIGHT,615.8014,52:11.0,52:11.9,105,S1,ResponseInhibition
LEFT,966.6666686,FALSE,,,,LEFT,581.0296,52:12.8,52:13.6,106,S1,ResponseInhibition
RIGHT,700.0000014,FALSE,,,,RIGHT,482.3669,52:14.4,52:15.1,107,S1,ResponseInhibition
RIGHT,1033.333335,FALSE,,,,RIGHT,626.9839,52:16.1,52:17.0,108,S1,ResponseInhibition
RIGHT,850.0000017,FALSE,,,,RIGHT,782.6876,52:17.8,52:18.8,109,S1,ResponseInhibition
RIGHT,1333.333336,FALSE,,,,RIGHT,639.0243,52:20.2,52:21.1,110,S1,ResponseInhibition
LEFT,1350.000003,TRUE,0,,,Time_Max_Exceeded,1500.12,52:22.4,52:23.9,111,S1,ResponseInhibition
LEFT,750.0000015,FALSE,,,,LEFT,560.7238,52:24.7,52:25.5,112,S1,ResponseInhibition
RIGHT,566.6666678,FALSE,,,,RIGHT,658.2657,52:26.1,52:27.0,113,S1,ResponseInhibition
RIGHT,516.6666677,TRUE,0,,,Time_Max_Exceeded,1500.0891,52:27.5,52:29.0,114,S1,ResponseInhibition
LEFT,533.3333344,TRUE,0,,,Time_Max_Exceeded,1500.184,52:29.6,52:31.1,115,S1,ResponseInhibition
RIGHT,616.6666679,FALSE,,,,RIGHT,568.6179,52:31.7,52:32.5,116,S1,ResponseInhibition
LEFT,700.0000014,TRUE,0,,,Time_Max_Exceeded,1500.1482,52:33.2,52:34.7,117,S1,ResponseInhibition
RIGHT,950.0000019,FALSE,,,,RIGHT,471.2724,52:35.7,52:36.4,118,S1,ResponseInhibition
LEFT,500.000001,FALSE,,,,LEFT,581.1514,52:36.9,52:37.7,119,S1,ResponseInhibition
LEFT,1050.000002,FALSE,,,,LEFT,562.7312,52:38.8,52:39.5,120,S1,ResponseInhibition
RIGHT,1133.333336,FALSE,,,,RIGHT,508.9528,52:40.7,52:41.4,121,S1,ResponseInhibition
RIGHT,1416.66667,FALSE,,,,RIGHT,707.9614,52:42.9,52:43.8,122,S1,ResponseInhibition
RIGHT,1100.000002,FALSE,,,,RIGHT,554.4142,52:44.9,52:45.7,123,S1,ResponseInhibition
LEFT,1283.333336,TRUE,0,,,Time_Max_Exceeded,1500.092,52:47.0,52:48.5,124,S1,ResponseInhibition
RIGHT,800.0000016,FALSE,,,,RIGHT,381.4369,52:49.3,52:49.9,125,S1,ResponseInhibition
LEFT,883.3333351,FALSE,,,,LEFT,499.1743,52:50.8,52:51.5,126,S1,ResponseInhibition
LEFT,666.666668,FALSE,,,,LEFT,457.6909,52:52.2,52:52.9,127,S1,ResponseInhibition
LEFT,1116.666669,TRUE,0,,,Time_Max_Exceeded,1500.157,52:54.0,52:55.5,128,S1,ResponseInhibition
LEFT,1033.333335,TRUE,0,,,Time_Max_Exceeded,1500.1112,52:56.6,52:58.1,129,S1,ResponseInhibition
RIGHT,1300.000003,FALSE,,,,RIGHT,422.8295,52:59.4,53:00.0,130,S1,ResponseInhibition
RIGHT,1316.666669,TRUE,0,,,Time_Max_Exceeded,1500.1182,53:01.4,53:02.9,131,S1,ResponseInhibition
LEFT,766.6666682,FALSE,,,,LEFT,463.1364,53:03.7,53:04.4,132,S1,ResponseInhibition
RIGHT,766.6666682,FALSE,,,,RIGHT,634.8055,53:05.2,53:06.0,133,S1,ResponseInhibition
RIGHT,583.3333345,TRUE,283.3333339,,,Time_Max_Exceeded,1500.172434,53:06.6,53:08.1,134,S1,ResponseInhibition
LEFT,1316.666669,FALSE,,,,LEFT,552.1038,53:09.5,53:10.2,135,S1,ResponseInhibition
LEFT,933.3333352,FALSE,,,,LEFT,609.8745,53:11.2,53:12.0,136,S1,ResponseInhibition
RIGHT,650.0000013,FALSE,,,,RIGHT,615.5264,53:12.7,53:13.5,137,S1,ResponseInhibition
RIGHT,1050.000002,FALSE,,,,RIGHT,643.8596,53:14.6,53:15.4,138,S1,ResponseInhibition
RIGHT,1283.333336,FALSE,,,,RIGHT,659.2934,53:16.8,53:17.6,139,S1,ResponseInhibition
RIGHT,1483.333336,TRUE,0,,,Time_Max_Exceeded,1500.15,53:19.1,53:20.6,140,S1,ResponseInhibition
RIGHT,1066.666669,TRUE,0,,,Time_Max_Exceeded,1500.0906,53:21.7,53:23.2,141,S1,ResponseInhibition
RIGHT,666.666668,TRUE,0,,,Time_Max_Exceeded,1500.1029,53:23.9,53:25.4,142,S1,ResponseInhibition
LEFT,1200.000002,TRUE,283.3333339,,,LEFT,431.3555339,53:26.6,53:27.3,143,S1,ResponseInhibition
RIGHT,600.0000012,FALSE,,,,RIGHT,685.392,53:27.9,53:28.8,144,S1,ResponseInhibition
RIGHT,883.3333351,FALSE,,,,RIGHT,722.3017,53:29.7,53:30.7,145,S1,ResponseInhibition
LEFT,983.3333353,FALSE,,,,LEFT,648.4899,53:31.7,53:32.5,146,S1,ResponseInhibition
LEFT,1433.333336,TRUE,283.3333339,,,Time_Max_Exceeded,1500.117334,53:34.0,53:35.5,147,S1,ResponseInhibition
RIGHT,1383.333336,FALSE,,,,RIGHT,622.9098,53:36.9,53:37.7,148,S1,ResponseInhibition
RIGHT,1500.000003,FALSE,,,,RIGHT,811.4124,53:39.2,53:40.3,149,S1,ResponseInhibition
RIGHT,750.0000015,TRUE,283.3333339,,,Time_Max_Exceeded,1500.129334,53:41.1,53:42.6,150,S1,ResponseInhibition
RIGHT,1233.333336,TRUE,283.3333339,,,Time_Max_Exceeded,1500.221934,53:43.8,53:45.3,151,S1,ResponseInhibition
LEFT,866.6666684,TRUE,283.3333339,,,Time_Max_Exceeded,1500.148434,53:46.2,53:47.7,152,S1,ResponseInhibition
LEFT,1250.000003,FALSE,,,,LEFT,779.015,53:49.0,53:50.0,153,S1,ResponseInhibition
RIGHT,1466.66667,FALSE,,,,RIGHT,783.5903,53:51.5,53:52.5,154,S1,ResponseInhibition
LEFT,1133.333336,FALSE,,,,LEFT,637.9455,53:53.6,53:54.5,155,S1,ResponseInhibition
LEFT,1333.333336,FALSE,,,,LEFT,644.1975,53:55.9,53:56.7,156,S1,ResponseInhibition
LEFT,566.6666678,FALSE,,,,LEFT,793.8275,53:57.3,53:58.3,157,S1,ResponseInhibition
RIGHT,983.3333353,TRUE,283.3333339,,,Time_Max_Exceeded,1500.102934,53:59.3,54:00.9,158,S1,ResponseInhibition
LEFT,1150.000002,FALSE,,,,LEFT,689.9629,54:02.0,54:02.9,159,S1,ResponseInhibition
RIGHT,533.3333344,FALSE,,,,RIGHT,789.8067,54:03.5,54:04.5,160,S1,ResponseInhibition
RIGHT,1350.000003,FALSE,,,,RIGHT,606.5928,54:05.9,54:06.7,161,S1,ResponseInhibition
LEFT,1416.66667,FALSE,,,,LEFT,699.7558,54:08.1,54:09.0,162,S1,ResponseInhibition
LEFT,1166.666669,FALSE,,,,LEFT,381.8111,54:10.2,54:10.8,163,S1,ResponseInhibition
RIGHT,866.6666684,FALSE,,,,RIGHT,602.029,54:11.7,54:12.5,164,S1,ResponseInhibition
RIGHT,1216.666669,FALSE,,,,RIGHT,581.2538,54:13.8,54:14.6,165,S1,ResponseInhibition
LEFT,650.0000013,FALSE,,,,LEFT,646.7357,54:15.3,54:16.1,166,S1,ResponseInhibition
LEFT,1300.000003,FALSE,,,,LEFT,642.7482,54:17.4,54:18.3,167,S1,ResponseInhibition
RIGHT,1400.000003,TRUE,283.3333339,,,Time_Max_Exceeded,1500.114034,54:19.7,54:21.2,168,S1,ResponseInhibition
LEFT,1400.000003,FALSE,,,,LEFT,540.5119,54:22.6,54:23.4,169,S1,ResponseInhibition
LEFT,1383.333336,FALSE,,,,LEFT,634.595,54:24.8,54:25.7,170,S1,ResponseInhibition
LEFT,900.0000018,FALSE,,,,LEFT,781.5338,54:26.6,54:27.6,171,S1,ResponseInhibition
RIGHT,1200.000002,FALSE,,,,RIGHT,495.2854,54:28.8,54:29.5,172,S1,ResponseInhibition
LEFT,683.3333347,FALSE,,,,LEFT,620.0866,54:30.2,54:31.1,173,S1,ResponseInhibition
LEFT,1500.000003,FALSE,,,,LEFT,670.3103,54:32.6,54:33.5,174,S1,ResponseInhibition
RIGHT,683.3333347,FALSE,,,,RIGHT,685.0383,54:34.2,54:35.1,175,S1,ResponseInhibition
RIGHT,500.000001,FALSE,,,,RIGHT,765.4911,54:35.6,54:36.6,176,S1,ResponseInhibition
LEFT,1483.333336,FALSE,,,,LEFT,564.2343,54:38.1,54:38.9,177,S1,ResponseInhibition
RIGHT,716.6666681,FALSE,,,,RIGHT,727.7706,54:39.6,54:40.6,178,S1,ResponseInhibition
LEFT,716.6666681,FALSE,,,,LEFT,738.2768,54:41.3,54:42.3,179,S1,ResponseInhibition
LEFT,1466.66667,FALSE,,,,LEFT,799.77,54:43.8,54:44.8,180,S1,ResponseInhibition
LEFT,600.0000012,FALSE,,,,LEFT,611.2044,54:45.4,54:46.2,181,S1,ResponseInhibition
LEFT,1066.666669,FALSE,,,,LEFT,374.9368,54:47.3,54:47.9,182,S1,ResponseInhibition
LEFT,850.0000017,FALSE,,,,LEFT,682.2439,54:48.8,54:49.7,183,S1,ResponseInhibition
LEFT,516.6666677,FALSE,,,,LEFT,763.5273,54:50.2,54:51.2,184,S1,ResponseInhibition
LEFT,783.3333349,TRUE,283.3333339,,,Time_Max_Exceeded,1500.233334,54:52.0,54:53.5,185,S1,ResponseInhibition
LEFT,1216.666669,FALSE,,,,LEFT,516.9746,54:54.7,54:55.5,186,S1,ResponseInhibition
LEFT,1233.333336,FALSE,,,,LEFT,433.4571,54:56.7,54:57.4,187,S1,ResponseInhibition
RIGHT,900.0000018,TRUE,283.3333339,,,Time_Max_Exceeded,1500.116134,54:58.3,54:59.8,188,S1,ResponseInhibition
RIGHT,1433.333336,FALSE,,,,RIGHT,515.5578,55:01.3,55:02.0,189,S1,ResponseInhibition
RIGHT,1250.000003,FALSE,,,,RIGHT,508.9399,55:03.3,55:04.0,190,S1,ResponseInhibition
LEFT,833.333335,FALSE,,,,LEFT,562.4128,55:04.9,55:05.6,191,S1,ResponseInhibition
RIGHT,1166.666669,FALSE,,,,RIGHT,613.6863,55:06.8,55:07.7,192,S1,ResponseInhibition
LEFT,800.0000016,FALSE,,,,LEFT,636.4531,55:08.5,55:09.3,193,S1,ResponseInhibition
RIGHT,783.3333349,FALSE,,,,RIGHT,469.9706,55:10.1,55:10.8,194,S1,ResponseInhibition
RIGHT,1016.666669,FALSE,,,,RIGHT,582.2049,55:11.9,55:12.7,195,S1,ResponseInhibition
LEFT,950.0000019,TRUE,283.3333339,,,Time_Max_Exceeded,1500.189734,55:13.6,55:15.1,196,S1,ResponseInhibition
RIGHT,833.333335,TRUE,0,,,Time_Max_Exceeded,1500.0822,55:16.0,55:17.5,197,S1,ResponseInhibition
LEFT,1100.000002,FALSE,,,,LEFT,472.1804,55:18.6,55:19.3,198,S1,ResponseInhibition
LEFT,1016.666669,FALSE,,,,LEFT,577.0614,55:20.4,55:21.2,199,S1,ResponseInhibition
RIGHT,966.6666686,FALSE,,,,RIGHT,503.4564,55:22.1,55:22.9,200,S1,ResponseInhibition
