Congruence,Stimulus_Side,ITI,Previous_Response,Previous_RT,Cue_Response,Cue_Response_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
INCONGRUENT,LEFT,1383.333336,"('Time_Max_Exceeded', 1383.5897999999816)",0,,,LEFT,509.5551,53:37.0,53:37.7,54,s4,ConflictResolution
INCONGRUENT,RIGHT,1083.333336,"('Time_Max_Exceeded', 1083.7148000000525)",-0.96,,,RIGHT,435.454,53:38.9,53:39.5,55,s4,ConflictResolution
CONGRUENT,LEFT,1000.000002,"('Time_Max_Exceeded', 1000.4615999999942)",0,,,LEFT,431.0851,53:40.5,53:41.2,56,s4,ConflictResolution
INCONGRUENT,LEFT,700.0000014,"('Time_Max_Exceeded', 700.3234999999677)",0,,,LEFT,530.1694,53:41.9,53:42.6,57,s4,ConflictResolution
INCONGRUENT,RIGHT,1416.66667,"('Time_Max_Exceeded', 0.32750000002579327)",0,,,RIGHT,492.6004,53:44.1,53:44.8,58,s4,ConflictResolution
CONGRUENT,RIGHT,1433.333336,"('Time_Max_Exceeded', 1433.5873999999649)",0,,,RIGHT,392.5587,53:46.2,53:46.8,59,s4,ConflictResolution
INCONGRUENT,RIGHT,500.000001,"('Time_Max_Exceeded', 500.5095999999867)",0,,,RIGHT,515.0415,53:47.3,53:48.1,60,s4,ConflictResolution
CONGRUENT,LEFT,733.3333348,"('Time_Max_Exceeded', 733.4905000000163)",0,,,LEFT,401.8672,53:48.8,53:49.4,61,s4,ConflictResolution
CONGRUENT,RIGHT,750.0000015,"('Time_Max_Exceeded', 750.2868999999919)",0,,,RIGHT,361.9037,53:50.2,53:50.8,62,s4,ConflictResolution
CONGRUENT,RIGHT,616.6666679,"('Time_Max_Exceeded', 0.18149999993966048)",0,,,RIGHT,360.2082,53:51.4,53:52.0,63,s4,ConflictResolution
CONGRUENT,LEFT,1250.000003,"('Time_Max_Exceeded', 0.09349999993446545)",0,,,LEFT,385.7496,53:53.3,53:53.8,64,s4,ConflictResolution
CONGRUENT,RIGHT,666.666668,"('Time_Max_Exceeded', 666.9167999999672)",0,,,RIGHT,365.8154,53:54.5,53:55.1,65,s4,ConflictResolution
CONGRUENT,RIGHT,633.3333346,"('Time_Max_Exceeded', 633.4851000000299)",0,,,RIGHT,381.1983,53:55.8,53:56.3,66,s4,ConflictResolution
CONGRUENT,RIGHT,1350.000003,"('Time_Max_Exceeded', 1350.5451999999423)",0,,,RIGHT,426.7268,53:57.7,53:58.4,67,s4,ConflictResolution
CONGRUENT,LEFT,666.666668,"('Time_Max_Exceeded', 668.4685000000172)",0,,,LEFT,415.504,53:59.1,53:59.7,68,s4,ConflictResolution
INCONGRUENT,RIGHT,616.6666679,"('Time_Max_Exceeded', 616.9296000000486)",0,,,RIGHT,427.6435,54:00.3,54:00.9,69,s4,ConflictResolution
CONGRUENT,RIGHT,1300.000003,"('Time_Max_Exceeded', 1302.4341999999933)",0,,,RIGHT,393.1227,54:02.3,54:02.9,70,s4,ConflictResolution
CONGRUENT,LEFT,1466.66667,"('Time_Max_Exceeded', 1467.0842000000448)",0,,,LEFT,415.5039,54:04.4,54:05.0,71,s4,ConflictResolution
CONGRUENT,RIGHT,1250.000003,"('Time_Max_Exceeded', 1250.2640000000156)",0,,,RIGHT,404.0314,54:06.3,54:06.9,72,s4,ConflictResolution
CONGRUENT,RIGHT,600.0000012,"('Time_Max_Exceeded', 602.559000000042)",0,,,RIGHT,463.7333,54:07.5,54:08.2,73,s4,ConflictResolution
INCONGRUENT,RIGHT,1183.333336,"('Time_Max_Exceeded', 1183.5901999999123)",0,,,RIGHT,692.3376,54:09.4,54:10.3,74,s4,ConflictResolution
CONGRUENT,RIGHT,916.6666685,"('Time_Max_Exceeded', 917.0866000000615)",0,,,RIGHT,466.6159,54:11.2,54:11.9,75,s4,ConflictResolution
INCONGRUENT,LEFT,583.3333345,"('Time_Max_Exceeded', 583.8747999999896)",0,,,LEFT,493.0023,54:12.5,54:13.2,76,s4,ConflictResolution
CONGRUENT,RIGHT,1450.000003,"('Time_Max_Exceeded', 1452.3509000000558)",0,,,RIGHT,366.9487,54:14.7,54:15.3,77,s4,ConflictResolution
