Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1500.000003,"('Time_Max_Exceeded', 1500.2589000000057)",0,DOWN,349.3479,40:56.0,40:56.5,50,s4,ProcessingSpeed
RIGHT,733.3333348,"('Time_Max_Exceeded', 734.6884000000102)",0,DOWN,328.5993,40:57.3,40:57.8,51,s4,ProcessingSpeed
LEFT,566.6666678,"('Time_Max_Exceeded', 566.9239000000061)",0,DOWN,278.1266,40:58.4,40:58.9,52,s4,ProcessingSpeed
LEFT,1083.333336,"('Time_Max_Exceeded', 1083.6549999999932)",0,DOWN,364.1425,41:00.0,41:00.5,53,s4,ProcessingSpeed
LEFT,1366.666669,"('Time_Max_Exceeded', 1366.9625999999937)",-0.994,DOWN,330.1738,41:01.9,41:02.4,54,s4,ProcessingSpeed
RIGHT,1216.666669,"('Time_Max_Exceeded', 1216.8299000000075)",0,DOWN,314.23,41:03.7,41:04.2,55,s4,ProcessingSpeed
RIGHT,850.0000017,"('Time_Max_Exceeded', 850.5660000000006)",0,DOWN,374.5856,41:05.1,41:05.6,56,s4,ProcessingSpeed
RIGHT,1433.333336,"('Time_Max_Exceeded', 1433.7089000000133)",0,DOWN,344.586,41:07.1,41:07.6,57,s4,ProcessingSpeed
RIGHT,916.6666685,"('Time_Max_Exceeded', 917.0060999999947)",0,DOWN,358.9267,41:08.6,41:09.1,58,s4,ProcessingSpeed
LEFT,850.0000017,"('Time_Max_Exceeded', 850.3264999999942)",0,DOWN,323.8713,41:10.0,41:10.5,59,s4,ProcessingSpeed
RIGHT,1266.666669,"('Time_Max_Exceeded', 1266.8596000000036)",0,DOWN,359.7428,41:11.8,41:12.4,60,s4,ProcessingSpeed
