Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,1333.333336,"('Time_Max_Exceeded', 1333.6572000000047)",0,RIGHT,340.4637,41:54.6,41:55.2,16,s4,ResponseSelection
RIGHT,850.0000017,"('Time_Max_Exceeded', 850.155199999989)",0,RIGHT,346.4248,41:56.0,41:56.6,17,s4,ResponseSelection
RIGHT,1050.000002,"('Time_Max_Exceeded', 0.1500999999848318)",0,RIGHT,318.8587,41:57.6,41:58.2,18,s4,ResponseSelection
RIGHT,1500.000003,"('Time_Max_Exceeded', 1500.2602000000138)",0,RIGHT,322.6842,41:59.7,42:00.2,19,s4,ResponseSelection
RIGHT,800.0000016,"('Time_Max_Exceeded', 0.09079999998107269)",0,RIGHT,332.0556,42:01.0,42:01.6,20,s4,ResponseSelection
LEFT,766.6666682,"('Time_Max_Exceeded', 766.8160000000057)",0,LEFT,378.4826,42:02.3,42:02.9,21,s4,ResponseSelection
RIGHT,1133.333336,"('Time_Max_Exceeded', 1133.7997999999914)",0,RIGHT,306.7528,42:04.1,42:04.6,22,s4,ResponseSelection
RIGHT,1433.333336,"('Time_Max_Exceeded', 1435.4067999999813)",0,RIGHT,334.6346,42:06.0,42:06.6,23,s4,ResponseSelection
LEFT,1416.66667,"('Time_Max_Exceeded', 1416.9237000000123)",0,LEFT,371.7057,42:08.0,42:08.6,24,s4,ResponseSelection
RIGHT,1033.333335,"('Time_Max_Exceeded', 1034.8178000000132)",0,RIGHT,364.9176,42:09.6,42:10.2,25,s4,ResponseSelection
RIGHT,1166.666669,"('Time_Max_Exceeded', 1166.966599999995)",0,RIGHT,355.1452,42:11.4,42:12.0,26,s4,ResponseSelection
RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.2812000000006)",0,RIGHT,317.6284,42:13.3,42:13.8,27,s4,ResponseSelection
LEFT,966.6666686,"('Time_Max_Exceeded', 966.9989999999871)",0,LEFT,369.3032,42:14.8,42:15.3,28,s4,ResponseSelection
RIGHT,950.0000019,"('Time_Max_Exceeded', 0.2614999999934753)",0,RIGHT,299.0773,42:16.3,42:16.8,29,s4,ResponseSelection
RIGHT,766.6666682,"('Time_Max_Exceeded', 766.9552000000124)",0,RIGHT,350.4136,42:17.6,42:18.2,30,s4,ResponseSelection
LEFT,1466.66667,"('Time_Max_Exceeded', 0.36020000001713015)",0,LEFT,350.2485,42:19.6,42:20.2,31,s4,ResponseSelection
RIGHT,1483.333336,"('Time_Max_Exceeded', 1486.2121000000172)",0,RIGHT,310.7295,42:21.7,42:22.2,32,s4,ResponseSelection
LEFT,700.0000014,"('Time_Max_Exceeded', 700.3816000000143)",0,LEFT,375.4808,42:22.9,42:23.5,33,s4,ResponseSelection
RIGHT,1100.000002,"('Time_Max_Exceeded', 0.11029999998868334)",0,RIGHT,297.9159,42:24.6,42:25.1,34,s4,ResponseSelection
RIGHT,1233.333336,"('Time_Max_Exceeded', 1233.5246000000097)",0,RIGHT,391.9946,42:26.4,42:27.0,35,s4,ResponseSelection
LEFT,1333.333336,"('Time_Max_Exceeded', 1333.6579999999856)",0,LEFT,344.2946,42:28.3,42:28.8,36,s4,ResponseSelection
LEFT,533.3333344,"('Time_Max_Exceeded', 533.7642000000073)",0,LEFT,497.4699,42:29.4,42:30.1,37,s4,ResponseSelection
LEFT,1216.666669,"('Time_Max_Exceeded', 1216.9971000000146)",0,LEFT,370.2443,42:31.3,42:31.9,38,s4,ResponseSelection
RIGHT,1400.000003,"('Time_Max_Exceeded', 1400.2596999999923)",0,RIGHT,329.5286,42:33.3,42:33.9,39,s4,ResponseSelection
RIGHT,900.0000018,"('Time_Max_Exceeded', 0.4691000000036638)",0,RIGHT,345.7301,42:34.8,42:35.3,40,s4,ResponseSelection
RIGHT,700.0000014,"('Time_Max_Exceeded', 700.3013000000067)",0,RIGHT,339.4999,42:36.0,42:36.6,41,s4,ResponseSelection
LEFT,1500.000003,"('Time_Max_Exceeded', 1501.6481000000113)",0,LEFT,349.1982,42:38.1,42:38.7,42,s4,ResponseSelection
RIGHT,616.6666679,"('Time_Max_Exceeded', 616.9912000000011)",0,RIGHT,367.8621,42:39.3,42:39.9,43,s4,ResponseSelection
LEFT,1033.333335,"('Time_Max_Exceeded', 1033.65119999998)",0,LEFT,342.742,42:40.9,42:41.5,44,s4,ResponseSelection
LEFT,716.6666681,"('Time_Max_Exceeded', 716.8139000000053)",0,LEFT,413.1205,42:42.2,42:42.8,45,s4,ResponseSelection
LEFT,1050.000002,"('Time_Max_Exceeded', 1053.1058999999914)",0,LEFT,336.4843,42:43.9,42:44.4,46,s4,ResponseSelection
RIGHT,1466.66667,"('Time_Max_Exceeded', 1466.9983999999943)",0,RIGHT,338.0245,42:45.9,42:46.4,47,s4,ResponseSelection
RIGHT,1216.666669,"('Time_Max_Exceeded', 0.5844000000081451)",0,RIGHT,395.0226,42:47.7,42:48.3,48,s4,ResponseSelection
LEFT,583.3333345,"('Time_Max_Exceeded', 583.6675999999841)",0,LEFT,362.2316,42:48.9,42:49.4,49,s4,ResponseSelection
RIGHT,750.0000015,"('Time_Max_Exceeded', 750.2618999999981)",0,RIGHT,394.5731,42:50.2,42:50.8,50,s4,ResponseSelection
LEFT,866.6666684,"('Time_Max_Exceeded', 866.8770999999822)",0,LEFT,314.7891,42:51.7,42:52.2,51,s4,ResponseSelection
