Stimulus_Side,ITI,Stop_Signal,Stop_Signal_RT,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
RIGHT,1350.000003,FALSE,,"('Time_Max_Exceeded', 1350.490499999978)",0,RIGHT,568.7953,07:17.0,07:17.8,61,S2,ResponseInhibition
RIGHT,1066.666669,TRUE,183.3333337,"('Time_Max_Exceeded', 1066.9497000000092)",0,RIGHT,422.7352337,07:18.9,07:19.5,62,S2,ResponseInhibition
RIGHT,1483.333336,TRUE,266.6666672,"('Time_Max_Exceeded', 1483.6297999999033)",0,Time_Max_Exceeded,1500.245167,07:21.0,07:22.5,63,S2,ResponseInhibition
LEFT,1483.333336,FALSE,,"('Time_Max_Exceeded', 1483.8161999999784)",0,LEFT,514.9184,07:24.0,07:24.8,64,S2,ResponseInhibition
RIGHT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1417.1698000000106)",0,RIGHT,500.5476,07:26.2,07:26.9,65,S2,ResponseInhibition
RIGHT,500.000001,FALSE,,"('Time_Max_Exceeded', 500.48419999995986)",0,RIGHT,617.1455,07:27.5,07:28.3,66,S2,ResponseInhibition
LEFT,1200.000002,TRUE,116.6666669,"('Time_Max_Exceeded', 1200.455799999986)",0,Time_Max_Exceeded,1500.164767,07:29.5,07:31.0,67,S2,ResponseInhibition
RIGHT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.1806999999417)",0,RIGHT,544.6675,07:32.4,07:33.1,68,S2,ResponseInhibition
LEFT,833.333335,FALSE,,"('Time_Max_Exceeded', 833.7879999999132)",0,LEFT,482.6102,07:34.0,07:34.7,69,S2,ResponseInhibition
LEFT,883.3333351,FALSE,,"('Time_Max_Exceeded', 883.86330000003)",0,LEFT,464.0856,07:35.6,07:36.3,70,S2,ResponseInhibition
RIGHT,766.6666682,FALSE,,"('Time_Max_Exceeded', 767.5206000000117)",0,RIGHT,466.0363,07:37.0,07:37.7,71,S2,ResponseInhibition
RIGHT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1217.1761000000743)",0,RIGHT,564.9825,07:39.0,07:39.8,72,S2,ResponseInhibition
LEFT,1500.000003,FALSE,,"('Time_Max_Exceeded', 1500.4950000000008)",0,LEFT,462.8567,07:41.3,07:42.0,73,S2,ResponseInhibition
LEFT,1150.000002,FALSE,,"('Time_Max_Exceeded', 1150.4995999999892)",0,LEFT,494.9263,07:43.1,07:43.8,74,S2,ResponseInhibition
RIGHT,716.6666681,FALSE,,"('Time_Max_Exceeded', 718.7234000000444)",0,RIGHT,562.7247,07:44.6,07:45.4,75,S2,ResponseInhibition
RIGHT,966.6666686,FALSE,,"('Time_Max_Exceeded', 967.1108000000004)",0,RIGHT,505.5544,07:46.3,07:47.1,76,S2,ResponseInhibition
RIGHT,1100.000002,FALSE,,"('Time_Max_Exceeded', 1100.610999999958)",0,RIGHT,360.0624,07:48.2,07:48.8,77,S2,ResponseInhibition
RIGHT,833.333335,TRUE,133.3333336,"('Time_Max_Exceeded', 836.1088000000336)",0,Time_Max_Exceeded,1500.220634,07:49.6,07:51.1,78,S2,ResponseInhibition
LEFT,516.6666677,FALSE,,"('Time_Max_Exceeded', 516.8794999999591)",0,LEFT,485.4775,07:51.7,07:52.4,79,S2,ResponseInhibition
RIGHT,1200.000002,FALSE,,"('Time_Max_Exceeded', 1200.4636000000346)",0,RIGHT,558.6443,07:53.6,07:54.4,80,S2,ResponseInhibition
LEFT,600.0000012,FALSE,,"('Time_Max_Exceeded', 600.4355000000032)",0,LEFT,504.1148,07:55.0,07:55.7,81,S2,ResponseInhibition
LEFT,1066.666669,FALSE,,"('Time_Max_Exceeded', 1071.4194999999336)",0,LEFT,712.4615,07:56.8,07:57.8,82,S2,ResponseInhibition
LEFT,1166.666669,FALSE,,"('Time_Max_Exceeded', 1167.136600000049)",-1.035,LEFT,595.9324,07:59.0,07:59.8,83,S2,ResponseInhibition
LEFT,1283.333336,TRUE,250.0000005,"('Time_Max_Exceeded', 1283.8428000000022)",0,LEFT,475.5352005,08:01.1,08:01.8,84,S2,ResponseInhibition
LEFT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1417.5202999999783)",0,LEFT,550.0186,08:03.2,08:04.0,85,S2,ResponseInhibition
LEFT,1350.000003,TRUE,200.0000004,"('Time_Max_Exceeded', 1350.8057999999892)",0,Time_Max_Exceeded,1500.223,08:05.4,08:06.9,86,S2,ResponseInhibition
RIGHT,1033.333335,FALSE,,"('Time_Max_Exceeded', 1033.5344000000077)",0,RIGHT,604.0962,08:07.9,08:08.8,87,S2,ResponseInhibition
LEFT,1033.333335,TRUE,83.3333335,"('Time_Max_Exceeded', 1033.8288000000375)",0,Time_Max_Exceeded,1500.214634,08:09.8,08:11.3,88,S2,ResponseInhibition
RIGHT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.2700999999433)",0,RIGHT,640.6742,08:12.0,08:12.9,89,S2,ResponseInhibition
LEFT,866.6666684,TRUE,150.0000003,"('Time_Max_Exceeded', 867.1608999999307)",0,Time_Max_Exceeded,1500.6187,08:13.8,08:15.3,90,S2,ResponseInhibition
LEFT,1233.333336,FALSE,,"('Time_Max_Exceeded', 1233.5663000000068)",0,LEFT,672.4679,08:16.5,08:17.4,91,S2,ResponseInhibition
RIGHT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.7958999999955)",0,RIGHT,456.5029,08:18.8,08:19.5,92,S2,ResponseInhibition
RIGHT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.7887000000137)",0,RIGHT,723.0481,08:20.8,08:21.8,93,S2,ResponseInhibition
RIGHT,883.3333351,FALSE,,"('Time_Max_Exceeded', 884.1002000000344)",0,RIGHT,698.723,08:22.7,08:23.6,94,S2,ResponseInhibition
LEFT,683.3333347,FALSE,,"('Time_Max_Exceeded', 684.1011999999864)",0,LEFT,617.5023,08:24.3,08:25.2,95,S2,ResponseInhibition
LEFT,1116.666669,TRUE,66.6666668,"('Time_Max_Exceeded', 1117.2093999999788)",0,Time_Max_Exceeded,1500.219467,08:26.3,08:27.8,96,S2,ResponseInhibition
RIGHT,1250.000003,FALSE,,"('Time_Max_Exceeded', 1250.5016999999725)",0,RIGHT,578.7354,08:29.1,08:29.9,97,S2,ResponseInhibition
LEFT,966.6666686,FALSE,,"('Time_Max_Exceeded', 967.1471999999994)",0,LEFT,486.7424,08:30.9,08:31.6,98,S2,ResponseInhibition
RIGHT,800.0000016,FALSE,,"('Time_Max_Exceeded', 802.1367000000055)",0,RIGHT,501.0908,08:32.4,08:33.1,99,S2,ResponseInhibition
LEFT,766.6666682,FALSE,,"('Time_Max_Exceeded', 769.8700999999346)",0,LEFT,485.9926,08:33.9,08:34.6,100,S2,ResponseInhibition
LEFT,1433.333336,TRUE,316.6666673,"('Time_Max_Exceeded', 1434.0435000000298)",0,Time_Max_Exceeded,1500.212167,08:36.1,08:37.6,101,S2,ResponseInhibition
LEFT,616.6666679,TRUE,333.333334,"('Time_Max_Exceeded', 617.390099999966)",0,LEFT,566.414334,08:38.3,08:39.1,102,S2,ResponseInhibition
LEFT,1400.000003,FALSE,,"('Time_Max_Exceeded', 1400.3415000000814)",0,LEFT,510.7514,08:40.5,08:41.3,103,S2,ResponseInhibition
RIGHT,833.333335,TRUE,316.6666673,"('Time_Max_Exceeded', 833.8522999999896)",0,Time_Max_Exceeded,1500.563567,08:42.1,08:43.6,104,S2,ResponseInhibition
LEFT,833.333335,FALSE,,"('Time_Max_Exceeded', 833.8317000000188)",0,LEFT,676.8568,08:44.5,08:45.4,105,S2,ResponseInhibition
LEFT,1383.333336,FALSE,,"('Time_Max_Exceeded', 1383.9397000000417)",0,LEFT,508.8994,08:46.8,08:47.5,106,S2,ResponseInhibition
LEFT,533.3333344,TRUE,333.333334,"('Time_Max_Exceeded', 534.9178999999822)",0,LEFT,470.749434,08:48.1,08:48.8,107,S2,ResponseInhibition
LEFT,966.6666686,FALSE,,"('Time_Max_Exceeded', 967.1383999999534)",0,LEFT,497.8641,08:49.8,08:50.5,108,S2,ResponseInhibition
RIGHT,1350.000003,FALSE,,"('Time_Max_Exceeded', 1350.5184000000554)",0,RIGHT,576.4234,08:51.9,08:52.7,109,S2,ResponseInhibition
LEFT,1316.666669,FALSE,,"('Time_Max_Exceeded', 1319.2314000000351)",0,LEFT,537.4024,08:54.0,08:54.7,110,S2,ResponseInhibition
RIGHT,966.6666686,FALSE,,"('Time_Max_Exceeded', 968.5194999999567)",0,RIGHT,455.7528,08:55.7,08:56.4,111,S2,ResponseInhibition
RIGHT,883.3333351,FALSE,,"('Time_Max_Exceeded', 883.805499999994)",0,RIGHT,594.985,08:57.3,08:58.1,112,S2,ResponseInhibition
LEFT,716.6666681,FALSE,,"('Time_Max_Exceeded', 717.1508000000131)",0,LEFT,617.577,08:58.9,08:59.7,113,S2,ResponseInhibition
LEFT,666.666668,FALSE,,"('Time_Max_Exceeded', 667.3432000000048)",0,LEFT,551.4695,09:00.4,09:01.2,114,S2,ResponseInhibition
RIGHT,683.3333347,FALSE,,"('Time_Max_Exceeded', 683.8258000000224)",0,RIGHT,617.7712,09:01.9,09:02.7,115,S2,ResponseInhibition
LEFT,1466.66667,FALSE,,"('Time_Max_Exceeded', 1467.1581999999717)",0,LEFT,488.302,09:04.2,09:04.9,116,S2,ResponseInhibition
LEFT,1350.000003,TRUE,316.6666673,"('Time_Max_Exceeded', 1350.5813000000444)",0,LEFT,383.5322673,09:06.3,09:06.9,117,S2,ResponseInhibition
LEFT,500.000001,FALSE,,"('Time_Max_Exceeded', 500.98880000007284)",0,LEFT,514.2205,09:07.4,09:08.2,118,S2,ResponseInhibition
LEFT,566.6666678,FALSE,,"('Time_Max_Exceeded', 567.1786000000338)",0,LEFT,521.8525,09:08.7,09:09.5,119,S2,ResponseInhibition
RIGHT,1300.000003,FALSE,,"('Time_Max_Exceeded', 1300.7231000000274)",0,RIGHT,561.8316,09:10.8,09:11.6,120,S2,ResponseInhibition
LEFT,800.0000016,FALSE,,"('Time_Max_Exceeded', 802.2053000000824)",0,LEFT,454.7364,09:12.4,09:13.1,121,S2,ResponseInhibition
RIGHT,1100.000002,FALSE,,"('Time_Max_Exceeded', 1100.5131000000574)",0,RIGHT,459.843,09:14.2,09:14.9,122,S2,ResponseInhibition
LEFT,866.6666684,TRUE,283.3333339,"('Time_Max_Exceeded', 867.3720000000458)",0,LEFT,390.7718339,09:15.8,09:16.4,123,S2,ResponseInhibition
RIGHT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1217.1531000000186)",0,RIGHT,548.5468,09:17.6,09:18.4,124,S2,ResponseInhibition
RIGHT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.4676999999219)",0,RIGHT,512.8304,09:19.1,09:19.8,125,S2,ResponseInhibition
RIGHT,1433.333336,FALSE,,"('Time_Max_Exceeded', 1433.8252000000011)",0,RIGHT,404.5756,09:21.3,09:21.9,126,S2,ResponseInhibition
RIGHT,566.6666678,FALSE,,"('Time_Max_Exceeded', 567.1301000000994)",-0.997,RIGHT,534.0826,09:22.5,09:23.2,127,S2,ResponseInhibition
RIGHT,933.3333352,FALSE,,"('Time_Max_Exceeded', 933.8238000000274)",0,RIGHT,619.4475,09:24.2,09:25.0,128,S2,ResponseInhibition
LEFT,850.0000017,FALSE,,"('Time_Max_Exceeded', 850.480300000072)",0,LEFT,668.0113,09:25.9,09:26.8,129,S2,ResponseInhibition
LEFT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1049.5329999999967)",0,LEFT,464.564,09:27.9,09:28.6,130,S2,ResponseInhibition
RIGHT,700.0000014,FALSE,,"('Time_Max_Exceeded', 0.22579999995286926)",0,RIGHT,399.2058,09:29.3,09:29.9,131,S2,ResponseInhibition
RIGHT,1016.666669,FALSE,,"('Time_Max_Exceeded', 1018.3254000000943)",0,RIGHT,369.0162,09:30.9,09:31.5,132,S2,ResponseInhibition
LEFT,700.0000014,TRUE,266.6666672,"('Time_Max_Exceeded', 0.3439000000753367)",0,LEFT,396.6865672,09:32.3,09:32.9,133,S2,ResponseInhibition
LEFT,600.0000012,FALSE,,"('Time_Max_Exceeded', 600.1744999999801)",0,LEFT,442.5474,09:33.5,09:34.2,134,S2,ResponseInhibition
RIGHT,900.0000018,TRUE,233.3333338,"('Time_Max_Exceeded', 900.8000000000038)",0,RIGHT,401.2997338,09:35.1,09:35.7,135,S2,ResponseInhibition
RIGHT,766.6666682,FALSE,,"('Time_Max_Exceeded', 767.1366999999236)",0,RIGHT,599.2048,09:36.5,09:37.4,136,S2,ResponseInhibition
RIGHT,1050.000002,FALSE,,"('Time_Max_Exceeded', 1053.159800000003)",0,RIGHT,523.3674,09:38.4,09:39.2,137,S2,ResponseInhibition
LEFT,1100.000002,FALSE,,"('Time_Max_Exceeded', 1100.5162999999811)",0,LEFT,545.95,09:40.3,09:41.1,138,S2,ResponseInhibition
LEFT,1066.666669,FALSE,,"('Time_Max_Exceeded', 1067.1467999999322)",0,LEFT,441.9116,09:42.2,09:42.8,139,S2,ResponseInhibition
LEFT,950.0000019,TRUE,233.3333338,"('Time_Max_Exceeded', 950.4318000000467)",0,LEFT,382.6429338,09:43.8,09:44.4,140,S2,ResponseInhibition
RIGHT,850.0000017,FALSE,,"('Time_Max_Exceeded', 850.5073000000039)",0,RIGHT,536.5579,09:45.3,09:46.0,141,S2,ResponseInhibition
RIGHT,1233.333336,TRUE,216.6666671,"('Time_Max_Exceeded', 1233.8554000000386)",0,RIGHT,418.0588671,09:47.3,09:47.9,142,S2,ResponseInhibition
LEFT,1033.333335,TRUE,216.6666671,"('Time_Max_Exceeded', 1033.7489999999434)",0,Time_Max_Exceeded,1500.219367,09:49.0,09:50.5,143,S2,ResponseInhibition
RIGHT,600.0000012,FALSE,,"('Time_Max_Exceeded', 600.2455999999938)",0,RIGHT,503.9791,09:51.1,09:51.9,144,S2,ResponseInhibition
RIGHT,1283.333336,FALSE,,"('Time_Max_Exceeded', 1287.2535000000198)",0,RIGHT,540.257,09:53.2,09:53.9,145,S2,ResponseInhibition
LEFT,983.3333353,FALSE,,"('Time_Max_Exceeded', 983.7695999999596)",0,LEFT,473.6732,09:54.9,09:55.6,146,S2,ResponseInhibition
LEFT,1216.666669,FALSE,,"('Time_Max_Exceeded', 1217.1445000000176)",0,LEFT,436.7738,09:56.9,09:57.5,147,S2,ResponseInhibition
LEFT,883.3333351,FALSE,,"('Time_Max_Exceeded', 884.2599999999265)",0,LEFT,407.9419,09:58.4,09:59.1,148,S2,ResponseInhibition
RIGHT,1316.666669,TRUE,216.6666671,"('Time_Max_Exceeded', 1317.1978999999965)",0,RIGHT,379.1907671,10:00.4,10:01.0,149,S2,ResponseInhibition
LEFT,650.0000013,FALSE,,"('Time_Max_Exceeded', 650.5425999999943)",0,LEFT,584.2236,10:01.7,10:02.5,150,S2,ResponseInhibition
RIGHT,500.000001,FALSE,,"('Time_Max_Exceeded', 507.18269999993026)",0,RIGHT,425.8452,10:03.0,10:03.7,151,S2,ResponseInhibition
LEFT,583.3333345,FALSE,,"('Time_Max_Exceeded', 584.0428000000202)",0,RIGHT,466.3689,10:04.3,10:05.0,152,S2,ResponseInhibition
RIGHT,783.3333349,FALSE,,"('Time_Max_Exceeded', 783.9896999998928)",0,RIGHT,490.5704,10:05.8,10:06.5,153,S2,ResponseInhibition
LEFT,1233.333336,FALSE,,"('Time_Max_Exceeded', 1233.8112999999566)",0,LEFT,385.4684,10:07.7,10:08.3,154,S2,ResponseInhibition
RIGHT,1500.000003,FALSE,,"('Time_Max_Exceeded', 1500.3086000000394)",0,RIGHT,405.0802,10:09.9,10:10.5,155,S2,ResponseInhibition
RIGHT,800.0000016,FALSE,,"('Time_Max_Exceeded', 800.6020000000262)",0,RIGHT,531.6907,10:11.3,10:12.1,156,S2,ResponseInhibition
RIGHT,950.0000019,FALSE,,"('Time_Max_Exceeded', 950.5181000000675)",0,RIGHT,425.5607,10:13.0,10:13.7,157,S2,ResponseInhibition
LEFT,1333.333336,FALSE,,"('Time_Max_Exceeded', 1333.8880000000017)",0,LEFT,449.1083,10:15.0,10:15.7,158,S2,ResponseInhibition
LEFT,1283.333336,TRUE,216.6666671,"('Time_Max_Exceeded', 0.48730000003160967)",0,LEFT,451.1437671,10:17.0,10:17.7,159,S2,ResponseInhibition
RIGHT,1200.000002,FALSE,,"('Time_Max_Exceeded', 1203.0164999999897)",0,RIGHT,604.7538,10:18.9,10:19.8,160,S2,ResponseInhibition
LEFT,1483.333336,FALSE,,"('Time_Max_Exceeded', 1483.8336000000254)",0,LEFT,450.1191,10:21.3,10:21.9,161,S2,ResponseInhibition
RIGHT,1416.66667,FALSE,,"('Time_Max_Exceeded', 1417.1016999999893)",0,RIGHT,457.4974,10:23.4,10:24.0,162,S2,ResponseInhibition
LEFT,933.3333352,FALSE,,"('Time_Max_Exceeded', 933.9011999999229)",-0.902,LEFT,445.5805,10:25.0,10:25.6,163,S2,ResponseInhibition
RIGHT,616.6666679,FALSE,,"('Time_Max_Exceeded', 616.9841000000815)",0,RIGHT,341.3296,10:26.3,10:26.8,164,S2,ResponseInhibition
RIGHT,1400.000003,TRUE,200.0000004,"('Time_Max_Exceeded', 0.2566000000570057)",0,RIGHT,364.0293004,10:28.3,10:28.9,165,S2,ResponseInhibition
RIGHT,1033.333335,FALSE,,"('Time_Max_Exceeded', 1033.8027999999895)",0,RIGHT,401.3036,10:29.9,10:30.5,166,S2,ResponseInhibition
